gene,num_isoforms,top_predicted_isoforms,avg_pred_total,avg_true_total
MT-CO1,1,ENST00000361624,877224.25,323845.84375
MT-ND4,1,ENST00000361381,303903.90625,155237.828125
MT-RNR2,1,ENST00000387347,294633.6875,509606.25
MT-CO3,1,ENST00000362079,281960.46875,132516.609375
MT-CO2,1,ENST00000361739,239413.625,124468.984375
ENSG00000272243,3,"ENST00000658108, ENST00000607807, ENST00000668767",208346.40625,179871.0
PIAS4,3,"ENST00000593518, ENST00000600566, ENST00000262971",164219.984375,75772.8125
MT-CYB,1,ENST00000361789,139258.765625,86013.6171875
NOP2,16,"ENST00000382421, ENST00000322166, ENST00000537708",130993.21875,88916.515625
MT-ND5,1,ENST00000361567,127443.9609375,75586.0859375
MTA2,4,"ENST00000532239, ENST00000278823, ENST00000526844",127196.40625,81055.578125
MT-ATP6,1,ENST00000361899,122804.6640625,74829.734375
MT-ND2,1,ENST00000361453,113376.015625,73140.796875
MT-ND1,1,ENST00000361390,107773.6953125,69082.6015625
ACTG1,17,"ENST00000679778, ENST00000571721, ENST00000575842",93674.453125,72360.515625
RUVBL2,9,"ENST00000601968, ENST00000640699, ENST00000596837",89938.6796875,100755.546875
ENO1,6,"ENST00000234590, ENST00000645609, ENST00000464920",87298.65625,53638.89453125
MIR6874,1,ENST00000635894,83964.9453125,87869.3671875
WDR20,8,"ENST00000558567, ENST00000299135, ENST00000555973",82127.7734375,42958.3046875
PKM,19,"ENST00000562784, ENST00000567087, ENST00000568743",75041.6796875,45240.3359375
RPLP0,13,"ENST00000551914, ENST00000546990, ENST00000552292",74912.2890625,52370.015625
DHX37,4,"ENST00000679875, ENST00000543962, ENST00000507267",73872.6796875,44119.33203125
SUPT3H,7,"ENST00000371460, ENST00000674231, ENST00000371459",73053.21875,44573.37109375
TUBA1A,5,"ENST00000550767, ENST00000295766, ENST00000552924",66973.1015625,41028.57421875
COL12A1,8,"ENST00000322507, ENST00000345356, ENST00000511023",62968.99609375,105090.390625
LINC01588,20,"ENST00000701890, ENST00000701948, ENST00000701065",57036.3984375,257827.9375
TPT1-AS1,24,"ENST00000655666, ENST00000658870, ENST00000520622",55641.234375,50396.12890625
POLE2,11,"ENST00000700175, ENST00000553805, ENST00000539565",55373.1328125,220670.28125
MLLT3,7,"ENST00000475957, ENST00000380321, ENST00000468513",53068.1484375,39419.71875
RPS2,12,"ENST00000563194, ENST00000529806, ENST00000533186",52869.54296875,40050.265625
RPL3,10,"ENST00000467105, ENST00000465618, ENST00000461967",51390.99609375,44404.66015625
LTBP3,14,"ENST00000322147, ENST00000528516, ENST00000526825",50321.66015625,44379.77734375
SNORD96A,1,ENST00000606577,50041.9609375,30311.763671875
CITED1,9,"ENST00000431381, ENST00000651998, ENST00000454225",48086.6875,27528.552734375
EIF2B3,7,"ENST00000360403, ENST00000620860, ENST00000486491",47548.22265625,28396.26953125
ENSG00000258345,1,ENST00000550840,47157.84375,32023.73046875
PTPN11,6,"ENST00000687906, ENST00000635625, ENST00000692624",47135.75390625,27379.130859375
DIS3L2,7,"ENST00000273009, ENST00000498319, ENST00000409401",46164.28125,28971.11328125
ASCC1,23,"ENST00000486689, ENST00000317126, ENST00000671788",45912.03125,54910.56640625
RPL13A,15,"ENST00000467825, ENST00000676477, ENST00000678146",45869.63671875,47730.2421875
MYH9,8,"ENST00000685708, ENST00000486218, ENST00000459960",43617.5703125,30861.7109375
SNORD18A,1,ENST00000363753,43432.96484375,25765.009765625
NACA,19,"ENST00000678416, ENST00000546392, ENST00000547914",43370.078125,32953.26171875
MYO1G,5,"ENST00000488554, ENST00000495831, ENST00000480503",42778.1796875,29388.6953125
DRAIC,34,"ENST00000674454, ENST00000669215, ENST00000646247",41298.89453125,32692.75390625
FHIP1A,4,"ENST00000511501, ENST00000435205, ENST00000508664",40363.30859375,31100.599609375
MTF2,9,"ENST00000487263, ENST00000476037, ENST00000545708",38888.5,23723.5390625
LRSAM1,33,"ENST00000676014, ENST00000675883, ENST00000485704",38476.28515625,23704.228515625
EIF4G2,22,"ENST00000530211, ENST00000527526, ENST00000528562",37938.3671875,29124.056640625
STAM-DT,1,ENST00000563601,37400.828125,50180.671875
SNX10,11,"ENST00000698086, ENST00000338523, ENST00000698083",37228.19140625,30490.7421875
HNRNPA1,30,"ENST00000547708, ENST00000679319, ENST00000678077",37087.20703125,40713.9296875
TNS2-AS1,20,"ENST00000701964, ENST00000549388, ENST00000701213",35551.80078125,32697.1328125
FLNA,13,"ENST00000369850, ENST00000676696, ENST00000498491",35283.9140625,46734.578125
PPP4C,3,"ENST00000568810, ENST00000562222, ENST00000279387",35007.96875,25241.83984375
RAD23A,9,"ENST00000651137, ENST00000586534, ENST00000590881",34997.4765625,27769.6484375
DDR1,35,"ENST00000502955, ENST00000482050, ENST00000505534",34902.796875,30608.611328125
MT-RNR1,1,ENST00000389680,34712.2578125,79889.6640625
ELMOD3,19,"ENST00000462891, ENST00000488150, ENST00000486908",34601.125,28373.00390625
ENSG00000254404,1,ENST00000529875,34382.19140625,46089.171875
ENO3,14,"ENST00000519584, ENST00000519266, ENST00000519300",33363.50390625,25295.916015625
STAU2,20,"ENST00000521210, ENST00000524300, ENST00000521451",33284.32421875,33111.265625
OLMALINC,28,"ENST00000658059, ENST00000667278, ENST00000661158",33277.171875,28106.669921875
SRRM2,22,"ENST00000576674, ENST00000576924, ENST00000576076",32866.359375,17963.13671875
SNORD14C,1,ENST00000365382,32584.41015625,30111.82421875
CTNNA1,18,"ENST00000520520, ENST00000520865, ENST00000518263",32381.306640625,26010.0078125
SVBP,3,"ENST00000372521, ENST00000497437, ENST00000372522",32157.7109375,22550.1015625
TRIM69,10,"ENST00000558173, ENST00000561170, ENST00000560442",31175.486328125,40795.1484375
RPL10,12,"ENST00000491035, ENST00000427682, ENST00000467168",30982.328125,36347.3203125
LRRC23,6,"ENST00000428946, ENST00000443597, ENST00000429740",30481.4296875,21336.623046875
SLC5A5,2,"ENST00000597109, ENST00000222248",30379.5390625,20837.943359375
FCGRT,13,"ENST00000596147, ENST00000598936, ENST00000599988",30332.67578125,25609.65234375
EIF4A1,19,"ENST00000585024, ENST00000580461, ENST00000584712",29805.935546875,21732.802734375
FBXW11,4,"ENST00000522507, ENST00000520376, ENST00000523843",29676.935546875,26339.716796875
FAM9C,5,"ENST00000380625, ENST00000468287, ENST00000542843",29151.552734375,40616.6328125
MUS81,8,"ENST00000525768, ENST00000533555, ENST00000533519",29027.134765625,23887.681640625
RGL2,10,"ENST00000485077, ENST00000494550, ENST00000497454",28718.92578125,29089.376953125
AMT,44,"ENST00000637994, ENST00000637684, ENST00000637114",28691.205078125,21489.82421875
MT-ND3,1,ENST00000361227,27892.1484375,19322.017578125
MT-ND6,1,ENST00000361681,27206.822265625,21731.81640625
CPNE7,7,"ENST00000525982, ENST00000268720, ENST00000529800",26916.89453125,32363.76953125
EYA4,16,"ENST00000452339, ENST00000683422, ENST00000684040",26377.53515625,19765.5625
SUPT5H,11,"ENST00000396843, ENST00000598520, ENST00000601515",25475.560546875,26931.359375
TAF11,10,"ENST00000689560, ENST00000361288, ENST00000420584",25211.58984375,19006.4140625
NTRK2,29,"ENST00000685209, ENST00000692804, ENST00000691415",24894.841796875,20109.125
DENND2B,32,"ENST00000526062, ENST00000530922, ENST00000532738",24807.6875,25757.39453125
ENSG00000286619,17,"ENST00000665342, ENST00000653632, ENST00000656452",24437.919921875,15649.9599609375
SEPTIN2,5,"ENST00000492978, ENST00000391973, ENST00000360051",24388.9375,15025.943359375
ZNF706,6,"ENST00000311212, ENST00000520984, ENST00000520498",24321.87890625,21026.62109375
YWHAZ,9,"ENST00000395958, ENST00000457309, ENST00000395951",24288.626953125,28899.453125
ZNF7,13,"ENST00000532393, ENST00000527218, ENST00000325217",24263.810546875,39060.20703125
LYPLA2,8,"ENST00000374505, ENST00000421070, ENST00000374503",24174.060546875,22067.29296875
ZDHHC16,11,"ENST00000345745, ENST00000492610, ENST00000420089",24076.681640625,14435.10546875
RPL19,10,"ENST00000585199, ENST00000225430, ENST00000679038",23816.947265625,21797.150390625
CHCHD7,11,"ENST00000518801, ENST00000396723, ENST00000521982",23660.779296875,19601.5546875
MT-ND4L,1,ENST00000361335,23470.080078125,17352.150390625
SURF4,4,"ENST00000371989, ENST00000467910, ENST00000485435",23371.59765625,18168.25390625
LINC01304,17,"ENST00000586530, ENST00000425949, ENST00000671382",23315.166015625,19786.5546875
PPP6C,3,"ENST00000415905, ENST00000373547, ENST00000451402",23273.638671875,16137.42578125
ARL6IP1,6,"ENST00000562234, ENST00000546206, ENST00000567969",23103.515625,16138.4326171875
C12orf73,3,"ENST00000547945, ENST00000651157, ENST00000552940",23088.8984375,19724.310546875
ENSG00000288747,1,ENST00000688240,23050.830078125,14820.7265625
LINC02560,1,ENST00000596379,22397.875,16722.693359375
FASN,8,"ENST00000636968, ENST00000635197, ENST00000306749",22312.580078125,16573.0234375
CTNNB1,34,"ENST00000405570, ENST00000645210, ENST00000646074",22132.0859375,16898.359375
RBM22,5,"ENST00000447771, ENST00000520132, ENST00000518917",22097.826171875,23881.98046875
THRB-AS1,7,"ENST00000438096, ENST00000620754, ENST00000594183",22065.5703125,23490.603515625
EXD3,11,"ENST00000484392, ENST00000478350, ENST00000460390",21689.896484375,12621.8232421875
LINC00106,2,"ENST00000430235, ENST00000434938",21341.068359375,13019.58984375
CPEB1,12,"ENST00000618449, ENST00000617522, ENST00000617958",21314.984375,17389.82421875
XRCC4,5,"ENST00000509268, ENST00000396027, ENST00000542685",21302.25390625,21931.81640625
KIAA0319L,22,"ENST00000697011, ENST00000697013, ENST00000697005",21293.919921875,14772.0966796875
DDX17,9,"ENST00000475004, ENST00000477112, ENST00000432525",21039.7890625,15029.453125
ACAD9,21,"ENST00000681583, ENST00000679431, ENST00000515429",20990.53125,15802.7373046875
GDPD5,13,"ENST00000531561, ENST00000336898, ENST00000527820",20916.328125,37846.86328125
IFI35,7,"ENST00000546325, ENST00000415816, ENST00000536969",20906.0078125,15889.3876953125
ENSG00000222017,1,ENST00000409845,20848.048828125,14682.58984375
CRACR2B,10,"ENST00000525077, ENST00000450448, ENST00000530688",20685.955078125,16212.3330078125
MRPL55,25,"ENST00000457264, ENST00000366732, ENST00000366731",20362.63671875,13036.3076171875
LINC00595,12,"ENST00000659477, ENST00000634946, ENST00000670962",20339.419921875,23869.1875
CD58,4,"ENST00000369489, ENST00000369487, ENST00000457047",20259.673828125,16657.251953125
ENSG00000286366,1,ENST00000654639,19751.732421875,13815.2529296875
KANSL3,16,"ENST00000448075, ENST00000488907, ENST00000451819",19424.06640625,13323.1201171875
NDUFA4P2,1,ENST00000489989,19298.427734375,12518.400390625
RPL18,11,"ENST00000552705, ENST00000552851, ENST00000084795",19224.138671875,17229.681640625
RNF222,1,ENST00000399398,19153.404296875,15980.5029296875
RPS15,11,"ENST00000585665, ENST00000233609, ENST00000586686",18907.927734375,16577.216796875
P4HB,22,"ENST00000474712, ENST00000680884, ENST00000472244",18877.154296875,21331.62890625
RPL37A-DT,4,"ENST00000686779, ENST00000438978, ENST00000453157",18623.212890625,10843.990234375
RN7SL431P,1,ENST00000582918,18575.376953125,15825.8095703125
DDX5,16,"ENST00000583201, ENST00000581806, ENST00000581697",18435.080078125,19956.04296875
ENSG00000227388,4,"ENST00000658413, ENST00000666249, ENST00000574939",18143.73046875,13147.5
SFXN4,6,"ENST00000419372, ENST00000466218, ENST00000461438",17805.55859375,11885.693359375
SLC43A3,23,"ENST00000530005, ENST00000625097, ENST00000529748",17783.703125,12815.26171875
OXCT1,7,"ENST00000509987, ENST00000508557, ENST00000514723",17754.380859375,17631.763671875
LINC01766,6,"ENST00000661919, ENST00000665580, ENST00000669392",17698.859375,186340.328125
NASP,24,"ENST00000530073, ENST00000472408, ENST00000629893",17674.42578125,17202.529296875
ITGB1,25,"ENST00000676460, ENST00000484088, ENST00000488427",17671.40625,21028.69921875
MIR9-1HG,35,"ENST00000465270, ENST00000497822, ENST00000701576",17619.9765625,12138.8623046875
ARHGEF1,18,"ENST00000354532, ENST00000600274, ENST00000600387",17590.8203125,28704.322265625
LINC00607,12,"ENST00000664275, ENST00000655043, ENST00000451392",17299.037109375,73056.703125
ENSG00000255513,1,ENST00000530779,17265.05859375,12426.314453125
TWF2-DT,2,"ENST00000464958, ENST00000483834",17192.58984375,16558.8203125
IFT172,26,"ENST00000489492, ENST00000416524, ENST00000674701",16866.953125,12680.056640625
HDAC11,19,"ENST00000416248, ENST00000455904, ENST00000487585",16863.291015625,21674.5234375
NPIPB9,2,"ENST00000550983, ENST00000357796",16777.03515625,10458.400390625
UBE2A,9,"ENST00000696539, ENST00000469205, ENST00000625379",16462.029296875,11961.798828125
TRPV2,8,"ENST00000580788, ENST00000475513, ENST00000577865",16459.3359375,19772.373046875
NCKAP5L,2,"ENST00000477361, ENST00000433948",16431.900390625,12215.34375
ENSG00000234139,7,"ENST00000430679, ENST00000651340, ENST00000686693",16417.27734375,9351.2998046875
UBA1,4,"ENST00000377269, ENST00000335972, ENST00000377351",16378.765625,10807.52734375
MBTD1,5,"ENST00000591270, ENST00000376381, ENST00000593259",16336.318359375,10532.796875
ENSG00000188525,2,"ENST00000340444, ENST00000673264",16324.3271484375,10230.8369140625
RPL17,19,"ENST00000581741, ENST00000579408, ENST00000582588",16245.408203125,20185.74609375
HSPE1,5,"ENST00000495200, ENST00000465573, ENST00000463841",16238.6435546875,9420.9375
HCN2,1,ENST00000251287,16091.330078125,10941.2900390625
MAP4K4,10,"ENST00000347699, ENST00000425019, ENST00000350878",16084.6181640625,16783.658203125
H3-3B,11,"ENST00000589417, ENST00000591893, ENST00000589949",15992.0087890625,14886.103515625
ENSG00000236295,1,ENST00000418591,15968.521484375,12347.1103515625
DIRAS3,4,"ENST00000693623, ENST00000646789, ENST00000370981",15966.4365234375,12098.2373046875
GTF3A,8,"ENST00000435781, ENST00000470606, ENST00000438571",15946.85546875,17797.3671875
ROCK2,8,"ENST00000401753, ENST00000697790, ENST00000493096",15891.2646484375,10886.400390625
NUCB2,12,"ENST00000646648, ENST00000527580, ENST00000533773",15819.9794921875,14078.1669921875
CLHC1,9,"ENST00000407122, ENST00000487320, ENST00000451916",15718.8369140625,13409.6337890625
NFX1,4,"ENST00000379540, ENST00000466971, ENST00000463421",15627.658203125,10369.4375
ENSG00000214593,1,ENST00000453641,15493.8935546875,11954.443359375
RRBP1,9,"ENST00000377807, ENST00000398782, ENST00000360807",15474.90625,12355.9296875
ATP5F1A,15,"ENST00000590406, ENST00000282050, ENST00000589869",15406.3857421875,14323.0361328125
ARHGEF28,9,"ENST00000510131, ENST00000512883, ENST00000545377",15334.9580078125,12079.806640625
PGK1,5,"ENST00000474281, ENST00000491291, ENST00000373316",15331.1650390625,11066.830078125
CSDE1,38,"ENST00000690784, ENST00000689727, ENST00000686123",15228.603515625,17120.876953125
CSNK1G1,14,"ENST00000635324, ENST00000635359, ENST00000635270",15200.77734375,12157.3125
ATF4,6,"ENST00000676346, ENST00000674568, ENST00000337304",15129.580078125,9819.95703125
CCDC88A,45,"ENST00000336838, ENST00000647547, ENST00000644512",15118.7041015625,18954.99609375
MEIS1-AS3,1,ENST00000454167,15006.330078125,9485.81640625
MCM4,12,"ENST00000262105, ENST00000524086, ENST00000520994",14918.703125,14838.783203125
KRT18,7,"ENST00000548015, ENST00000549078, ENST00000546656",14915.5771484375,25153.595703125
XRCC6,7,"ENST00000405506, ENST00000428575, ENST00000359308",14854.7685546875,11920.693359375
ZBTB44,3,"ENST00000529348, ENST00000528448, ENST00000530205",14787.13671875,13111.197265625
HUWE1,8,"ENST00000480438, ENST00000463852, ENST00000488459",14767.150390625,10825.2138671875
GNB1,6,"ENST00000378609, ENST00000610897, ENST00000434686",14698.744140625,10656.3935546875
IFT122,41,"ENST00000687461, ENST00000686375, ENST00000693489",14580.3818359375,11709.4033203125
NAP1L1,24,"ENST00000549988, ENST00000551524, ENST00000547704",14473.1484375,16047.5703125
ENSG00000201407,1,ENST00000364537,14387.1484375,8752.79296875
PARP1,20,"ENST00000676685, ENST00000677884, ENST00000490921",14336.837890625,13473.9384765625
PABPC1L,11,"ENST00000217073, ENST00000255136, ENST00000372826",14330.728515625,10759.9072265625
ABCC9,15,"ENST00000682879, ENST00000544039, ENST00000683811",14305.37890625,18192.32421875
APP,15,"ENST00000448850, ENST00000354192, ENST00000474136",14192.68359375,20080.25390625
UBAP2L,13,"ENST00000613315, ENST00000437652, ENST00000428931",14189.373046875,12309.8994140625
PACSIN1,7,"ENST00000493633, ENST00000244458, ENST00000374043",14171.626953125,14381.5712890625
ILF3,13,"ENST00000592763, ENST00000250241, ENST00000589052",14145.515625,11342.5322265625
SCYL1,8,"ENST00000420247, ENST00000533862, ENST00000529178",14119.1806640625,55604.640625
IGSF8,4,"ENST00000460351, ENST00000448417, ENST00000614243",13816.1669921875,13218.673828125
CTSS,14,"ENST00000679898, ENST00000680471, ENST00000680664",13796.669921875,14828.9345703125
ENSG00000250614,1,ENST00000479299,13796.091796875,8726.873046875
MACF1,36,"ENST00000289893, ENST00000689726, ENST00000686067",13713.6875,12200.380859375
GNAS,23,"ENST00000464788, ENST00000682803, ENST00000488652",13701.5849609375,21710.23828125
NIPAL2,2,"ENST00000520735, ENST00000520545",13688.6005859375,15492.6201171875
TBCE,42,"ENST00000646528, ENST00000645205, ENST00000644625",13653.330078125,10522.240234375
EIF4G1,21,"ENST00000428387, ENST00000346169, ENST00000455679",13626.890625,10196.4375
GBF1,36,"ENST00000679238, ENST00000676939, ENST00000677506",13573.3671875,13621.177734375
MANBAL,2,"ENST00000373606, ENST00000397151",13534.74609375,7993.2333984375
GAPVD1,10,"ENST00000394083, ENST00000469528, ENST00000297933",13507.66796875,13081.0234375
ADGRD1,13,"ENST00000537489, ENST00000335486, ENST00000540207",13482.271484375,13102.296875
MARCHF6,12,"ENST00000514312, ENST00000606497, ENST00000640713",13416.5556640625,10483.986328125
PRPF8,15,"ENST00000571346, ENST00000576958, ENST00000577001",13305.431640625,9748.169921875
ANXA2,21,"ENST00000560165, ENST00000557937, ENST00000677258",13212.982421875,35154.82421875
LMNA,24,"ENST00000676385, ENST00000470199, ENST00000368300",13176.0205078125,10271.3564453125
SYT8,10,"ENST00000490707, ENST00000464897, ENST00000494431",13154.4697265625,23565.529296875
TBC1D13,3,"ENST00000372648, ENST00000466056, ENST00000475097",13095.40234375,9707.40625
ENSG00000266088,2,"ENST00000662739, ENST00000578280",13017.0322265625,8904.310546875
SMG7-AS1,4,"ENST00000432837, ENST00000624060, ENST00000663067",12941.427734375,7580.10693359375
EMC1,13,"ENST00000690823, ENST00000685594, ENST00000691945",12919.533203125,9717.7841796875
TAF6,33,"ENST00000689052, ENST00000687672, ENST00000686580",12887.10546875,8209.40625
ENSG00000273295,1,ENST00000609510,12882.0478515625,8159.3466796875
IQGAP1,13,"ENST00000558957, ENST00000268182, ENST00000561086",12842.380859375,11330.1767578125
RPL22,5,"ENST00000234875, ENST00000471204, ENST00000497965",12757.2939453125,11228.3212890625
SLC38A4-AS1,4,"ENST00000551503, ENST00000551021, ENST00000653856",12739.9052734375,9717.400390625
APAF1,8,"ENST00000555047, ENST00000550527, ENST00000359972",12632.6669921875,10463.640625
TMEM150A,7,"ENST00000422458, ENST00000417791, ENST00000433956",12562.9990234375,8737.466796875
GATAD2B,7,"ENST00000368655, ENST00000634408, ENST00000634544",12500.923828125,7861.78369140625
TPM4,14,"ENST00000344824, ENST00000653961, ENST00000646575",12448.876953125,15796.3603515625
USP24,6,"ENST00000634589, ENST00000294383, ENST00000482197",12427.7255859375,11785.697265625
PNKD,14,"ENST00000692295, ENST00000494954, ENST00000258362",12410.689453125,9788.1865234375
CS,21,"ENST00000550655, ENST00000548746, ENST00000551968",12392.5341796875,10039.236328125
KCP,8,"ENST00000460528, ENST00000613019, ENST00000611280",12331.947265625,11006.1328125
ENSG00000226622,30,"ENST00000657052, ENST00000655358, ENST00000657352",12321.4306640625,9890.134765625
FBH1,8,"ENST00000460453, ENST00000461504, ENST00000475867",12291.4013671875,8299.7734375
SNRPG,8,"ENST00000429728, ENST00000454893, ENST00000480370",12218.8212890625,7600.79296875
ZNF143,11,"ENST00000412390, ENST00000532577, ENST00000396597",12199.3447265625,8858.060546875
SKP1,10,"ENST00000517625, ENST00000523966, ENST00000353411",12188.8828125,10139.7900390625
PHKG1,6,"ENST00000452681, ENST00000432123, ENST00000395428",12184.8720703125,8446.767578125
CLTC,17,"ENST00000579456, ENST00000579815, ENST00000393043",12176.0126953125,17035.232421875
ESYT1,7,"ENST00000548142, ENST00000551112, ENST00000394048",12167.4248046875,8234.103515625
LBHD1,7,"ENST00000532208, ENST00000527679, ENST00000431002",12065.6513671875,12285.9541015625
CICP6,1,ENST00000457191,12053.4345703125,9131.3203125
SEC24B-AS1,11,"ENST00000659270, ENST00000667746, ENST00000689777",12049.87890625,13089.4453125
TAOK3,11,"ENST00000542692, ENST00000536979, ENST00000535570",12032.443359375,7981.56689453125
NAT8B,1,ENST00000377712,11970.814453125,8869.61328125
SH2B1,9,"ENST00000563674, ENST00000395532, ENST00000566176",11970.5302734375,7684.90380859375
ZDHHC4,10,"ENST00000396709, ENST00000474738, ENST00000483589",11962.048828125,8686.462890625
TROAP,12,"ENST00000549891, ENST00000546776, ENST00000546735",11915.9775390625,13646.7138671875
SEC22B4P,2,"ENST00000618406, ENST00000643391",11875.779296875,10027.6259765625
NDUFV1,16,"ENST00000525086, ENST00000534352, ENST00000532244",11835.111328125,14797.41015625
TAGAP-AS1,17,"ENST00000659621, ENST00000659171, ENST00000607391",11793.4765625,11089.0068359375
CHD8,18,"ENST00000555301, ENST00000646063, ENST00000643048",11790.232421875,8426.2802734375
BANP,20,"ENST00000488074, ENST00000423252, ENST00000393207",11779.443359375,16102.61328125
RNF10,21,"ENST00000551139, ENST00000543757, ENST00000544805",11772.9853515625,9693.02734375
MTATP6P1,1,ENST00000514057,11685.1728515625,11366.443359375
LINC00545,4,"ENST00000440633, ENST00000693404, ENST00000690833",11652.2451171875,10130.6630859375
FERMT3,28,"ENST00000698864, ENST00000698876, ENST00000698869",11618.8466796875,8956.11328125
ARHGDIA,10,"ENST00000578351, ENST00000583499, ENST00000583111",11578.4423828125,8367.72265625
SPPL3,8,"ENST00000392495, ENST00000543608, ENST00000536996",11546.685546875,7306.037109375
NUP85,20,"ENST00000579298, ENST00000581104, ENST00000578830",11474.080078125,9949.443359375
MRPL1,5,"ENST00000315567, ENST00000511521, ENST00000504901",11435.9140625,7881.8935546875
GADD45B,6,"ENST00000585359, ENST00000586759, ENST00000215631",11425.685546875,7450.54345703125
CALM3,10,"ENST00000486500, ENST00000599839, ENST00000597868",11386.4951171875,8644.5439453125
TADA2B,5,"ENST00000310074, ENST00000506692, ENST00000515646",11382.576171875,7400.22705078125
ACSF2,17,"ENST00000570356, ENST00000511288, ENST00000427954",11372.857421875,7262.2333984375
PSEN2,20,"ENST00000677529, ENST00000485677, ENST00000676616",11333.3251953125,11206.8662109375
FARP2,4,"ENST00000444371, ENST00000412332, ENST00000485051",11288.060546875,9278.5
KHSRP,6,"ENST00000595258, ENST00000597704, ENST00000594745",11283.15234375,7441.18359375
MSN,7,"ENST00000697139, ENST00000697136, ENST00000697138",11168.576171875,15640.8076171875
RNU6-1244P,1,ENST00000363614,11162.794921875,6996.06689453125
PPP3CA,6,"ENST00000510292, ENST00000492351, ENST00000529324",11142.3173828125,8601.0498046875
EIF2B1,6,"ENST00000534960, ENST00000539951, ENST00000452159",11116.62890625,7294.2568359375
RBM28,3,"ENST00000488249, ENST00000487602, ENST00000478061",11104.2958984375,7085.14013671875
CACNA1D,24,"ENST00000636581, ENST00000636570, ENST00000636629",11051.3662109375,12185.671875
ST13,5,"ENST00000411695, ENST00000216218, ENST00000480048",11040.7978515625,6433.37353515625
PEAR1,5,"ENST00000292357, ENST00000455314, ENST00000482505",11018.8310546875,10640.3564453125
RAB3GAP2,25,"ENST00000693454, ENST00000474178, ENST00000684982",10963.9775390625,7507.35302734375
UBA52,9,"ENST00000597451, ENST00000596272, ENST00000599551",10912.0400390625,9728.376953125
ENSG00000275437,1,ENST00000616512,10878.375,8102.953125
IFRD2,12,"ENST00000468737, ENST00000469855, ENST00000426499",10841.6494140625,7731.44970703125
FBXO47,1,ENST00000378079,10838.0185546875,8453.26953125
SMG7,5,"ENST00000495321, ENST00000444547, ENST00000685780",10771.751953125,9488.25
POMT1,38,"ENST00000677853, ENST00000678833, ENST00000678548",10766.8818359375,10169.982421875
CRK,4,"ENST00000300574, ENST00000572145, ENST00000574295",10759.15234375,10387.8935546875
SHMT2,19,"ENST00000554600, ENST00000553837, ENST00000556798",10730.5771484375,14582.5546875
MRPL49,7,"ENST00000528529, ENST00000532671, ENST00000533943",10686.330078125,8370.7138671875
PTTG1IP,7,"ENST00000480234, ENST00000474737, ENST00000494690",10661.8759765625,7489.6865234375
HNRNPUL1,14,"ENST00000599521, ENST00000602130, ENST00000599614",10634.89453125,12001.458984375
RPL32P3,8,"ENST00000687239, ENST00000514355, ENST00000499631",10533.390625,9132.0
SLC38A2,10,"ENST00000552414, ENST00000551405, ENST00000553252",10512.123046875,8416.056640625
SMG1,8,"ENST00000566328, ENST00000563235, ENST00000561940",10488.3828125,8218.2626953125
IQCE,13,"ENST00000402050, ENST00000470731, ENST00000423196",10471.53515625,9361.75
MTIF2,11,"ENST00000417363, ENST00000366137, ENST00000412530",10460.9296875,10301.357421875
ENSG00000273858,1,ENST00000622087,10417.1787109375,79356.296875
LCOR,18,"ENST00000675151, ENST00000540664, ENST00000371103",10400.0712890625,8122.693359375
G3BP1,43,"ENST00000677493, ENST00000679289, ENST00000677252",10375.2412109375,29546.166015625
CCT8,12,"ENST00000481059, ENST00000286788, ENST00000432178",10323.7451171875,9686.580078125
TTYH2,7,"ENST00000534346, ENST00000534039, ENST00000528152",10311.9072265625,10235.9462890625
STAU1,8,"ENST00000371792, ENST00000437404, ENST00000456866",10285.9609375,8010.74951171875
RBM23,19,"ENST00000556186, ENST00000542016, ENST00000554955",10264.609375,14133.5986328125
DARS1-AS1,21,"ENST00000593405, ENST00000444649, ENST00000701667",10249.2880859375,7947.583984375
SMARCC2,9,"ENST00000552566, ENST00000550859, ENST00000552627",10235.673828125,18914.595703125
DCUN1D2,10,"ENST00000375403, ENST00000478244, ENST00000438545",10222.373046875,7423.41259765625
HAX1,20,"ENST00000697592, ENST00000447768, ENST00000696930",10185.6103515625,10564.84375
TCF7,16,"ENST00000395029, ENST00000522653, ENST00000342854",10130.3212890625,7307.82373046875
SLC37A4,24,"ENST00000538950, ENST00000357590, ENST00000526275",10066.91796875,7992.6435546875
ACTN1,29,"ENST00000683261, ENST00000683225, ENST00000684182",10057.0703125,15755.5556640625
ACIN1,19,"ENST00000457657, ENST00000555352, ENST00000553501",10049.9736328125,8183.42333984375
ANAPC7,10,"ENST00000464697, ENST00000546720, ENST00000552170",10019.396484375,10647.6171875
BBS7-DT,1,ENST00000567769,10002.6533203125,10066.2001953125
DCTN1,20,"ENST00000361874, ENST00000477966, ENST00000417090",9975.3408203125,9466.9873046875
NME6,9,"ENST00000452211, ENST00000444069, ENST00000643457",9954.95703125,8165.66357421875
PLOD3,13,"ENST00000414785, ENST00000460475, ENST00000481461",9947.173828125,24425.953125
SON,9,"ENST00000455528, ENST00000474355, ENST00000421541",9933.9921875,9648.0859375
HMGN1,13,"ENST00000652622, ENST00000436324, ENST00000419378",9928.2783203125,7000.4697265625
PACS1,11,"ENST00000529795, ENST00000528935, ENST00000529677",9923.0546875,6902.06640625
SEC13,15,"ENST00000383801, ENST00000476597, ENST00000428626",9893.5517578125,7686.85400390625
