gene,num_isoforms,top_predicted_isoforms,avg_pred_total,avg_true_total
OR52H1,2,"ENST00000322653, ENST00000641796",1.1638703346252441,5.776666164398193
RPS19,3,"ENST00000598742, ENST00000601492, ENST00000221975",1.163522481918335,4.4666666984558105
ENSG00000285471,1,ENST00000573619,1.1633530855178833,2.816666603088379
ENSG00000256981,1,ENST00000535136,1.1633505821228027,1.846666693687439
ENSG00000253853,1,ENST00000670600,1.1631888151168823,5.510000228881836
VDAC2P2,1,ENST00000544463,1.1629514694213867,6.666666507720947
ENSG00000289914,1,ENST00000701624,1.162872314453125,7.110000133514404
ENSG00000280199,1,ENST00000623446,1.1627296209335327,5.21999979019165
ZXDC,2,"ENST00000336332, ENST00000515545",1.1626694202423096,3.426666736602783
CCL3L1,2,"ENST00000616702, ENST00000619989",1.1624802350997925,7.3566670417785645
ENSG00000282912,1,ENST00000634593,1.1624336242675781,3.2966666221618652
MSANTD4,2,"ENST00000530788, ENST00000529805",1.1623727083206177,4.986666679382324
HIGD1AP3,1,ENST00000515857,1.16204833984375,36.24666976928711
ENSG00000248195,1,ENST00000505348,1.1618784666061401,1.996666669845581
RPL39P31,1,ENST00000467090,1.1618751287460327,3.4600000381469727
MRPS5P4,1,ENST00000592830,1.1617417335510254,2.556666612625122
RN7SL454P,1,ENST00000492744,1.1617106199264526,3.633333683013916
ENSG00000289137,3,"ENST00000691613, ENST00000686805, ENST00000692131",1.1616922616958618,5.619999885559082
ENSG00000270434,1,ENST00000603431,1.1612658500671387,5.376667022705078
ENSG00000255256,1,ENST00000534594,1.1608237028121948,7.2833333015441895
ENSG00000260664,2,"ENST00000624327, ENST00000564508",1.1606943607330322,2.263333320617676
ENSG00000272079,1,ENST00000607794,1.1604783535003662,4.670000076293945
SPACA1,1,ENST00000462690,1.1600615978240967,6.416666507720947
AK4,2,"ENST00000395334, ENST00000479060",1.159664273262024,131.23004150390625
ENSG00000287452,1,ENST00000671017,1.159489631652832,3.1733334064483643
ID2,4,"ENST00000331129, ENST00000234091, ENST00000472142",1.1594252586364746,2.8500001430511475
TRBJ2-5,1,ENST00000390417,1.1591050624847412,5.013333320617676
PSMA2P1,1,ENST00000526365,1.158689022064209,2.5
TP73-AS3,1,ENST00000443034,1.1586591005325317,4.046666622161865
NCOR1P2,1,ENST00000584728,1.15849769115448,2.8499999046325684
RPS26P42,1,ENST00000413485,1.1584281921386719,1.7033333778381348
RPS23P8,1,ENST00000429775,1.158136010169983,5.03000020980835
CCDC192,2,"ENST00000506670, ENST00000513708",1.1577186584472656,1.316666603088379
ENSG00000219133,1,ENST00000403842,1.157651424407959,4.893333435058594
ENSG00000266335,1,ENST00000582700,1.1575764417648315,2.193333387374878
ZNF649-AS1,1,ENST00000600329,1.157147765159607,2.5266666412353516
ENSG00000272072,1,ENST00000607036,1.1569907665252686,2.8466665744781494
ENSG00000287315,1,ENST00000653257,1.156983733177185,2.066666603088379
ENSG00000250577,1,ENST00000506416,1.1567541360855103,2.9666666984558105
OR6C72P,1,ENST00000451403,1.1567524671554565,41.42001724243164
RUSF1-DT,3,"ENST00000651898, ENST00000702160, ENST00000569782",1.1567038297653198,4.9033331871032715
SERPINI1,4,"ENST00000295777, ENST00000494666, ENST00000472941",1.1565980911254883,4.576666831970215
SDHAF4,2,"ENST00000370474, ENST00000468640",1.1563384532928467,5.143333435058594
ENSG00000254796,1,ENST00000533883,1.1562892198562622,3.4600000381469727
TIMM29,1,ENST00000270502,1.1561888456344604,23.96666717529297
ENSG00000272240,1,ENST00000606572,1.1554399728775024,9.169999122619629
PCNPP5,1,ENST00000452246,1.1553027629852295,118.93331909179688
